Instruction_name,instruction,,,,,
Change the Perspective,Rewrite the given text from the perspective of a bystander witnessing the events unfold.,,,,,
Add Descriptive Language,Enhance the text by incorporating three vivid adjectives and a metaphor to describe the key elements.,,,,,
Alter Sentence Structure,"Combine two short sentences into one, and break down a longer sentence into two for a varied rhythm.",,,,,
Use Synonyms,Replace at least three key words with synonyms to diversify the vocabulary without changing the overall meaning.,,,,,
Change the Tone,Transform the formal tone of the text into a humorous one while maintaining clarity.,,,,,
Switch Tenses,"Shift the text from present tense to past tense, reimagining the events as if they already happened.",,,,,
Play with Word Order,Rearrange the words in the first and last sentences to create a more engaging and unexpected opening and closing.,,,,,
Introduce Dialogue,Insert a short dialogue between two characters discussing the main points of the text.,,,,,
Create an Allegory,"Turn the content into an allegory, using a completely unrelated scenario to convey the same message.",,,,,
Use Reverse Logic,"Start with the conclusion or outcome, and gradually reveal the supporting details in reverse order.",,,,,
Employ a Different Genre,"Rewrite the text as if it were a suspenseful short story, maintaining the core information.",,,,,
Focus on Different Details,"Shift the focus from the main event to a secondary detail, highlighting its significance.",,,,,
Incorporate Cultural References,Integrate a popular cultural reference or idiom to convey the same message with a contemporary twist.,,,,,
Change the Setting,Relocate the events to a futuristic setting and describe how the changes impact the narrative.,,,,,
Add a Personal Touch,Include a brief personal anecdote that relates to the main theme of the text.,,,,,
Play with Punctuation,Experiment with ellipses in one sentence and em dashes in another to create different effects.,,,,,
Create Acronyms or Abbreviations,Condense the information into an acronym or abbreviation while ensuring clarity.,,,,,
Utilize Different Forms of Media,"Rewrite the text as a series of tweets, condensing each point into 280 characters or less.",,,,,
Blend Genres,"Merge elements of science fiction with the original text, introducing a futuristic twist.",,,,,
Consider Different Audiences,"Rewrite the text with a teenager as the target audience, adapting the language and content accordingly.",,,,,
Change the Perspective,Retell the story from the perspective of the main antagonist or a character who played a minor role.,,,,,
Add Descriptive Language,Paint a visual image by using vibrant colors and sensory details in describing the surroundings.,,,,,
Alter Sentence Structure,"Experiment with sentence lengths, making one sentence extremely short and another unusually long.",,,,,
Use Synonyms,Replace three common words with more obscure or specialized synonyms to add depth to the language.,,,,,
